"Date","Balance","Interp.Balance"
2009-05-31,NA,-2139.63
2009-06-30,-2855.50740542,-2855.51
2009-07-31,NA,-2721.29
2009-08-31,NA,-2118.14
2009-09-30,-1698.66129432,-1698.66
2009-10-31,NA,-1914.32
2009-11-30,NA,-2476.08
2009-12-31,-2869.69519443,-2869.7
2010-01-31,NA,-2781.04
2010-02-28,NA,-2473.88
2010-03-31,-2375.56359659,-2375.56
2010-04-30,NA,-2718.42
2010-05-31,NA,-3193.23
2010-06-30,-3368.41908925,-3368.42
2010-07-31,NA,-2933.11
2010-08-31,NA,-2163.38
2010-09-30,-1539.9201048,-1539.92
2010-10-31,NA,-1395.88
2010-11-30,NA,-1497.49
2010-12-31,-1487.51719653,-1487.52
2011-01-31,NA,-1150.23
2011-02-28,NA,-862.1
2011-03-31,-1085.93980263,-1085.94
2011-04-30,NA,-2138.12
2011-05-31,NA,-3418.39
2011-06-30,-4239.82840765,-4239.83
2011-07-31,NA,-4028.25
2011-08-31,NA,-3161.61
2011-09-30,-2279.3256062,-2279.33
2011-10-31,NA,-1880.43
2011-11-30,NA,-1810.53
2011-12-31,-1801.42779859,-1801.43
2012-01-31,NA,-1654.96
2012-02-29,NA,-1515.02
2012-03-31,-1595.07219615,-1595.07
2012-04-30,NA,-2032.74
2012-05-31,NA,-2583.79
2012-06-30,-2969.46129855,-2969.46
2012-07-31,NA,-2947.04
2012-08-31,NA,-2648.86
2012-09-30,-2301.52249735,-2301.52
2012-10-31,NA,-2079.99
2012-11-30,NA,-1886.72
2012-12-31,-1593.76700401,-1593.77
2013-01-31,NA,-1089.13
2013-02-28,NA,-500.49
2013-03-31,-41.94149872,-41.94
2013-04-30,NA,257.08
2013-05-31,NA,332.99
2013-06-30,214.80550248,214.81
2013-07-31,NA,-58.99
2013-08-31,NA,-440.3
2013-09-30,-845.25679924,-845.26
2013-10-31,NA,-1176.5
2013-11-30,NA,-1325.05
2013-12-31,-1144.81259869,-1144.81
2014-01-31,NA,-576.99
2014-02-28,NA,46.07
2014-03-31,299.95949978,299.96
2014-04-30,NA,-6.71
2014-05-31,NA,-590.1
2014-06-30,-1037.40509833,-1037.41
2014-07-31,NA,-1003.03
2014-08-31,NA,-650.56
2014-09-30,-274.27119843,-274.27
2014-10-31,NA,-87.73
2014-11-30,NA,75.13
2014-12-31,439.29990486,439.3
2015-01-31,NA,1137.95
2015-02-28,NA,1730.84
2015-03-31,1701.31990355,1701.32
2015-04-30,NA,743.6
2015-05-31,NA,-579.38
2015-06-30,-1593.74940052,-1593.75
2015-07-31,NA,-1707.64
2015-08-31,NA,-1250.86
2015-09-30,-765.43609883,-765.44
2015-10-31,NA,-661.91
2015-11-30,NA,-758.07
2015-12-31,-737.17789734,-737.18
2016-01-31,NA,-399.69
2016-02-29,NA,-40.55
2016-03-31,-60.71839771,-60.72
2016-04-30,NA,-695.36
2016-05-31,NA,-1513.46
2016-06-30,-1993.84480622,-1993.84
2016-07-31,NA,-1723.98
2016-08-31,NA,-1015.49
2016-09-30,-395.45429771,-395.45
2016-10-31,NA,-251.49
2016-11-30,NA,-406.35
2016-12-31,-554.23649952,-554.24
2017-01-31,NA,-504.64
2017-02-28,NA,-476.85
2017-03-31,-748.81439526,-748.81
2017-04-30,NA,-1541.09
2017-05-31,NA,-2425.8
2017-06-30,-2935.8917006,-2935.89
2017-07-31,NA,-2694.95
2017-08-31,NA,-2015.59
2017-09-30,-1412.33510125,-1412.34
2017-10-31,NA,-1262.82
2017-11-30,NA,-1383.3
2017-12-31,-1465.3614967,-1465.36
2018-01-31,NA,-1308.22
2018-02-28,NA,-1123.25
2018-03-31,-1201.95519686,-1201.96
2018-04-30,NA,-1749.77
2018-05-31,NA,-2524.73
2018-06-30,-3251.76779348,-3251.77
2018-07-31,NA,-3641.18
2018-08-31,NA,-3765.86
2018-09-30,-3734.46509634,-3734.47
2018-10-31,NA,-3638.97
2018-11-30,NA,-3401.52
2018-12-31,-2930.29159974,-2930.29
2019-01-31,NA,-2176.13
2019-02-28,NA,-1506.04
2019-03-31,-1347.4906021,-1347.49
2019-04-30,NA,-1919.71
2019-05-31,NA,-2881.37
2019-06-30,-3792.41709224,-3792.42
2019-07-31,NA,-4219.16
2019-08-31,NA,-4260.84
2019-09-30,-4089.39889502,-4089.4
2019-10-31,NA,-3859.18
2019-11-30,NA,-3504.74
2019-12-31,-2953.62200759,-2953.62
2020-01-31,NA,-2151.88
2020-02-29,NA,-1423.52
2020-03-31,-1155.95449926,-1155.95
2020-04-30,NA,-1553.46
2020-05-31,NA,-2364.67
2020-06-30,-3265.49329533,-3265.49
2020-07-31,NA,-3899.98
2020-08-31,NA,-4274.74
2020-09-30,-4399.68990313,-4399.69
2020-10-31,NA,-4318.91
2020-11-30,NA,-4073.81
2020-12-31,-3727.30000856,-3727.3
2021-01-31,NA,-3337.85
2021-02-28,NA,-3127.79
2021-03-31,-3295.78479633,-3295.78
2021-04-30,NA,-3997.16
2021-05-31,NA,-4921.32
2021-06-30,-5748.75309318,-5748.75
2021-07-31,NA,-6144.28
2021-08-31,NA,-6196.54
2021-09-30,-6042.88090325,-6042.88
2021-10-31,NA,-5833.52
2021-11-30,NA,-5636.18
2021-12-31,-5527.48430004,-5527.48
2022-01-31,NA,-5552.97
2022-02-28,NA,-5716.71
2022-03-31,-5970.71410508,-5970.71
2022-04-30,NA,-6362.28
2022-05-31,NA,-6869.99
2022-06-30,-7553.37597041,-7553.38
2022-07-31,NA,-8323.67
2022-08-31,NA,-8888.07
2022-09-30,-8789.62929376,-8789.63
2022-10-31,NA,-7814.92
2022-11-30,NA,-6325.75
2022-12-31,-4994.32030793,-4994.32
2023-01-31,NA,-4203.03
2023-02-28,NA,-3966.19
2023-03-31,-4090.85941613,-4090.86
2023-04-30,NA,-4465.24
2023-05-31,NA,-4979.1
2023-06-30,-5588.38829244,-5588.39
