Date,Policy Rate,Federal Funds Rate,Rate Difference
2019-11-30,12.75,1.56,11.19
2019-12-31,12.75,1.55,11.2
2020-01-31,12.75,1.59,11.16
2020-02-29,12.75,1.58,11.17
2020-03-31,9.75,0.08,9.67
2020-04-30,9.75,0.05,9.7
2020-05-31,9.75,0.05,9.7
2020-06-30,9.75,0.08,9.67
2020-07-31,9.75,0.1,9.65
2020-08-31,9.75,0.09,9.66
2020-09-30,9.25,0.09,9.16
2020-10-31,9.25,0.09,9.16
2020-11-30,8.75,0.09,8.66
2020-12-31,8.75,0.09,8.66
2021-01-31,8.75,0.07,8.68
2021-02-28,8.75,0.07,8.68
2021-03-31,8.75,0.06,8.69
2021-04-30,8.75,0.05,8.7
2021-05-31,8.75,0.05,8.7
2021-06-30,8.75,0.08,8.67
2021-07-31,8.75,0.07,8.68
2021-08-31,8.75,0.06,8.69
2021-09-30,8.75,0.06,8.69
2021-10-31,8.75,0.07,8.68
2021-11-30,8.75,0.07,8.68
2021-12-31,8.75,0.07,8.68
2022-01-31,8.75,0.08,8.67
2022-02-28,8.75,0.08,8.67
2022-03-31,9.75,0.33,9.42
2022-04-30,9.75,0.33,9.42
2022-05-31,11.75,0.83,10.92
2022-06-30,11.75,1.58,10.17
2022-07-31,11.75,2.32,9.43
2022-08-31,11.75,2.33,9.42
2022-09-30,11.75,3.08,8.67
2022-10-31,13.75,3.08,10.67
2022-11-30,13.75,3.83,9.92
2022-12-31,16.75,4.33,12.42
2023-01-31,16.75,4.33,12.42
2023-02-28,16.75,4.57,12.18
2023-03-31,16.75,4.83,11.92
2023-04-30,18.75,4.83,13.92
2023-05-31,18.75,5.08,13.67
2023-06-30,18.75,5.08,13.67
2023-07-31,18.75,5.33,13.42
2023-08-31,19.75,5.33,14.42
2023-09-30,19.75,5.33,14.42
