date,equity,debt,net_flow
2022-03-01,-34,-874,-908
2022-04-01,5,390,395
2022-05-01,-7,1622,1615
2022-06-01,-76,320,244
2022-07-01,8,-182,-174
2022-08-01,56,777,833
2022-09-01,-253,1634,1381
2022-10-01,-47,-751,-798
2022-11-01,-99,244,145
2022-12-01,276,489,765
2023-01-01,-56,7115,7059
2023-02-01,-9,2319,2310
2023-03-01,-104,337,233
2023-04-01,-24,287,263
2023-05-01,35,2037,2072
2023-06-01,2,724,726
2023-07-01,696,493,1189
