date,equity,debt,net_flow
2019-01-01,648,-4357,-3709
2019-02-01,230,-2440,-2210
2019-03-01,-103,3218,3115
2019-04-01,273,-907,-634
2019-05-01,-136,-722,-858
2019-06-01,127,120,247
2019-07-01,6,-2689,-2683
2019-08-01,-336,-1498,-1834
2019-09-01,-26,-142,-168
2019-10-01,-90,-2146,-2236
2019-11-01,-112,-755,-867
2019-12-01,-221,-106,-327
2020-01-01,20,-1272,-1252
2020-02-01,-83,2446,2363
2020-03-01,-572,-1925,-2497
2020-04-01,-307,-7271,-7578
2020-05-01,-116,853,737
2020-06-01,-253,-1575,-1828
2020-07-01,-18,794,776
2020-08-01,30,-575,-545
2020-09-01,-155,152,-3
2020-10-01,-9750,140,-9610
2020-11-01,8176,400,8576
2020-12-01,-432,452,20
2021-01-01,28,41,69
2021-02-01,-275,-569,-844
2021-03-01,23,-2343,-2320
2021-04-01,130,-2143,-2013
2021-05-01,51,-2187,-2136
2021-06-01,31,828,859
2021-07-01,-8,1272,1264
2021-08-01,42,-123,-81
2021-09-01,165,-362,-197
2021-10-01,379,-998,-619
2021-11-01,-14,-421,-435
2021-12-01,158,-558,-400
2022-01-01,252,-1382,-1130
2022-02-01,-15,-682,-697
2022-03-01,-191,-994,-1185
2022-04-01,-84,1103,1019
2022-05-01,-26,3586,3560
2022-06-01,-121,309,188
2022-07-01,-195,-109,-304
2022-08-01,-192,851,659
2022-09-01,-276,546,270
2022-10-01,-397,300,-97
2022-11-01,143,2746,2889
2022-12-01,-89,647,558
2023-01-01,288,-2635,-2347
2023-02-01,-188,4258,4070
2023-03-01,-371,-1511,-1882
2023-04-01,89,4479,4568
2023-05-01,195,1928,2123
2023-06-01,230,900,1130
2023-07-01,173,-1147,-974
