469,Egypt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Mar-00,Jun-00,Sep-00,Dec-00,Mar-01,Jun-01,Sep-01,Dec-01,Mar-02,Jun-02,Sep-02,Dec-02,Mar-03,Jun-03,Sep-03,Dec-03,Mar-04,Jun-04,Sep-04,Dec-04,Mar-05,Jun-05,Sep-05,Dec-05,Mar-06,Jun-06,Sep-06,Dec-06,Mar-07,Jun-07,Sep-07,Dec-07,Mar-08,Jun-08,Sep-08,Dec-08,Mar-09,Jun-09,Sep-09,Dec-09,Mar-10,Jun-10,Sep-10,Dec-10,Mar-11,Jun-11,Sep-11,Dec-11,Mar-12,Jun-12,Sep-12,Dec-12,Mar-13,Jun-13,Sep-13,Dec-13,Mar-14,Jun-14,Sep-14,Dec-14,Mar-15,Jun-15,Sep-15,Dec-15,Mar-16,Jun-16,Sep-16,Dec-16,Mar-17,Jun-17,Sep-17,Dec-17,Mar-18,Jun-18,Sep-18,Dec-18,Mar-19,Jun-19,Sep-19,Dec-19,Mar-20,Jun-20,Sep-20,Dec-20,Mar-21,Jun-21,Sep-21,Dec-21,Mar-22,Jun-22,Sep-22,Dec-22,Mar-23,Jun-23,Sep-23,Dec-23,Mar-24,Jun-24,Sep-24,Dec-24
FQ120,Portfolio investment,-60,49,287,-6,7,-27,"1,330",-66,-97,-168,-288,-119,-72,73,4,-23,19,-225,39,83,461,249,"2,579",239,30,-84,38,19,172,"-1,165","-1,430",-304,383,-23,"-3,485","-3,902","-1,503",-321,"1,186",378,"5,548",768,"5,900","-1,329","-5,540","-1,582","-1,730","-1,579","-1,260",-456,-327,67,-531,"2,268","1,268",-42,-30,42,316,"-2,411",30,"1,427","-1,406",-180,85,215,-841,"1,054","7,588","8,184","7,479",541,"6,906","-2,830","-3,240","-2,650","6,942","3,178","-1,982","2,255","-8,218",637,"6,686","3,482","5,818","2,756","3,561","-6,056","-14,753","-3,735","-2,158",-855,"1,200",-486,…,…,…,…,…,…
FQ121,Equity,…,…,…,…,4,-1,298,-47,-7,-22,-79,-85,-39,8,1,-15,2,-90,13,83,258,25,560,134,-7,-49,15,16,184,-107,-247,-179,-40,-14,"-1,241","-3,248","-1,395",62,307,387,537,-798,532,-294,-375,-190,-15,-131,-175,-787,-194,173,-515,-223,318,-11,73,65,242,106,104,30,14,-135,62,216,-63,395,-23,188,26,33,193,69,51,-92,-114,40,119,-56,-229,"-1,192",-250,-326,-95,-143,-713,-535,-447,-91,-607,200,-100,"-2,486",…,…,…,…,…,…
FQ122,Debt,…,…,…,…,2,-25,"1,032",-19,-89,-146,-209,-35,-33,66,3,-8,17,-136,26,-1,203,224,"2,019",105,37,-34,23,3,-13,"-1,058","-1,183",-125,423,-9,"-2,244",-655,-107,-383,879,-9,"5,011","1,566","5,368","-1,035","-5,165","-1,392","-1,715","-1,448","-1,085",331,-134,-106,-15,"2,491",950,-31,-103,-23,75,"-2,517",-74,"1,397","-1,420",-46,23,-1,-778,659,"7,611","7,996","7,453",508,"6,713","-2,899","-3,292","-2,557","7,056","3,139","-2,101","2,312","-7,988","1,829","6,937","3,808","5,913","2,899","4,274","-5,521","-14,307","-3,644","-1,551","-1,055","1,300","2,000",…,…,…,…,…,…
FQ130,Other investment,…,…,…,…,…,434,-466,-107,-233,295,-15,321,-165,-56,-409,358,140,461,-199,898,-26,650,-409,884,-463,639,-412,614,543,"2,066",668,-88,"2,331",-744,322,415,500,155,"2,120","1,305","1,020","1,756",602,"1,136",-715,-323,171,238,-394,"1,382",-169,"4,910",703,"1,462","1,916",-955,299,859,947,"1,733","2,066","8,961","1,476","6,153","6,908","4,584","7,179","8,345","2,331","1,418",612,"1,495","1,538","3,493","1,887","2,505","5,313","-1,833","3,237",-51,-586,"4,147",216,"1,768","2,901","1,855","-2,785","7,605","15,253",101,"4,594",915,800,"-2,309",…,…,…,…,…,…
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FQ400,Resident Capital Flows (changes in assets),…,…,…,…,…,-348,-702,328,-470,"-1,036","-1,182",-300,-491,"-1,140","-1,860","-1,167","-1,345","-1,376","-2,025",-992,411,-72,"-2,234","-1,503","-1,958",-283,"-2,705","-5,649","-2,109","-1,572",-771,"-2,729","-5,689","2,715","3,772","1,292","-1,235","-1,836","-1,880","-1,766","-5,615","-1,907","-6,900","1,617","1,927","-1,146","1,770",-521,-75,-409,512,"-1,148","-1,736",96,187,"-1,574",-960,-192,"-2,161",-166,"1,258",-327,240,"-3,156","-1,325",791,-280,"-2,107","-3,218","-6,458","-3,645",266,"-2,046",621,"1,765","-1,258","-8,054","-1,805","-2,913",-167,"6,772","-4,961","-4,546","-1,703","-2,230","1,310","3,646","2,281","-5,157","2,987","-1,300","-1,200","-1,100",-474,…,…,…,…,…,…
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FQ440,Net financial derivatives,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
FQ445,Capital transfers,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,-3,-14,-2,0,-19,-8,-12,-5,-8,-21,-12,-47,-17,-39,-17,-8,-23,299,-18,-48,-40,-22,-31,-23,-47,-36,-41,-53,-11,-9,-30,-60,-15,-40,-41,-37,-32,-35,-29,-34,-32,-37,-67,-82,-63,-44,-44,-30,-35,-36,-54,-35,47,15,-24,-40,-50,…,…,…,…,…,…
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FQ450,Errors and omissions,…,…,…,…,…,-164,279,-903,132,920,923,…,…,…,…,…,…,…,…,…,…,-565,165,-518,"1,019","-2,125","1,059","1,653",254,973,88,647,"1,361","-3,441","-2,431",-173,-210,-794,-8,530,-457,"-1,267",519,-83,726,478,-335,"-1,290",625,"-1,052",-37,"-2,002",-241,"-1,856",-896,927,-74,-562,"1,275",850,"-1,896","-2,753","-1,381",931,"-2,572",-777,-663,-404,"-1,783",-215,734,"-1,922","-1,100",-901,395,38,-400,366,"1,131","-1,082","-1,368",469,-883,"1,099","-2,015","1,799","-1,810","-1,473","1,941","1,343",0,0,0,0,…,…,…,…,…,…
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Reserves (- = increase),…,…,…,…,…,-151,-789,822,255,-365,61,-355,205,-566,35,-21,413,-400,50,-747,"-2,603","-1,189","-2,256","-1,230",-858,502,"-2,549","-1,045","-1,774","-1,733","-1,392","-2,165","-2,561",-981,"1,132","1,544","2,154",918,"-2,642",-549,-877,-46,-405,-729,"5,869","3,911","2,004","6,097","2,707",368,66,321,"1,716","-1,350","-4,089","2,009",-414,690,-119,"1,531",56,"-4,730","3,759",-94,-152,"-1,059","-1,908","-4,609","-4,310","-2,729","-5,227",-473,"-5,587","-1,558",-174,"1,870","-1,559",-499,-407,-302,"5,276","2,075",-250,"-1,505",-208,-184,-239,-102,"4,460","4,240",153,859,"1,267","-1,571",…,…,…,…,…,…
FQ500,Reserves excluding gold (- = increase),…,…,…,…,…,-141,-762,849,282,-338,95,-355,205,-566,35,-21,413,-400,50,-747,"-2,603","-1,167","-2,179","-1,112",-723,600,"-2,578",-983,"-1,680","-1,772","-1,167","-1,930","-2,342",-980,"1,018","1,510","2,282",948,"-2,505",-274,-874,291,-295,-474,"5,918","4,134","2,377","5,884","3,001",140,498,33,"1,572","-2,338","-3,762","1,737",-216,736,-365,"1,463",81,"-4,790","3,662",-243,227,-825,"-1,895","-5,077","-3,987","-2,751","-5,099",-518,"-5,408","-1,775",-287,"2,071","-1,427",-256,-203,-194,"5,531","2,466",67,"-1,472",-715,-69,-283,72,"7,569","3,286",-493,-95,313,"-2,525",…,…,…,…,…,…
FQ480,Monetary gold (- = increase),…,…,…,…,…,-10,-27,-27,-27,-27,-34,…,…,…,…,…,…,…,…,…,…,-22,-77,-119,-135,-98,28,-62,-94,38,-225,-236,-218,-1,114,34,-128,-30,-138,-275,-3,-337,-110,-255,-49,-223,-373,214,-294,227,-432,288,144,988,-327,272,-198,-46,246,69,-25,60,97,148,-379,-234,-13,468,-323,22,-128,44,-179,217,112,-201,-132,-243,-205,-108,-255,-391,-316,-33,507,-115,45,-174,"-3,109",954,646,954,954,954,0,…,…,…,…,…
