,Date,Bank Lending Rate: Month Avg: Poland,mo12m_change
172,2009-04,6.36,-1.45
173,2009-03,6.44,-0.89
174,2009-02,7.05,-0.2
175,2009-01,7.78,0.84
176,2008-12,8.33,1.14
177,2008-11,8.42,1.75
178,2008-10,8.37,2.0
179,2008-09,8.33,1.75
180,2008-08,8.15,1.92
181,2008-07,8.1,1.77
182,2008-06,8.27,2.26
183,2008-05,7.74,1.8
184,2008-04,7.81,1.9
185,2008-03,7.33,1.63
186,2008-02,7.25,1.44
187,2008-01,6.94,1.14
188,2007-12,7.19,1.61
189,2007-11,6.67,0.9
190,2007-10,6.37,0.62
191,2007-09,6.58,0.79
192,2007-08,6.23,0.47
193,2007-07,6.33,0.66
194,2007-06,6.01,0.31
195,2007-05,5.94,0.27
196,2007-04,5.91,0.05
197,2007-03,5.7,-0.19
198,2007-02,5.81,0.18
199,2007-01,5.8,-0.27
200,2006-12,5.58,-0.82
201,2006-11,5.77,-0.5
202,2006-10,5.75,-1.21
203,2006-09,5.79,-0.63
204,2006-08,5.76,-0.7
205,2006-07,5.67,-0.76
206,2006-06,5.7,-1.13
207,2006-05,5.67,-1.45
208,2006-04,5.86,-1.48
209,2006-03,5.89,-1.85
210,2006-02,5.63,-2.45
211,2006-01,6.07,-2.27
212,2005-12,6.4,
213,2005-11,6.27,
214,2005-10,6.96,
215,2005-09,6.42,
216,2005-08,6.46,
217,2005-07,6.43,
218,2005-06,6.83,
219,2005-05,7.12,
220,2005-04,7.34,
221,2005-03,7.74,
222,2005-02,8.08,
223,2005-01,8.34,
