Date,Rate
2013-05,5.7258064516129
2013-06,5.45833333333333
2013-07,5.18548387096774
2013-08,4.9741935483871
2013-09,4.76
2013-10,4.58709677419355
2013-11,4.37333333333334
2013-12,4.10967741935484
2014-01,3.9516129032258
2014-02,3.79642857142857
2014-03,3.68064516129032
2014-04,3.59666666666667
2014-05,3.48709677419355
2014-06,3.38
2014-07,3.24193548387097
2014-08,3.1
2014-09,3.1
2014-10,3.1
2014-11,3.1
2014-12,3.1
2015-01,3.1
2015-02,3.1
2015-03,3.06612903225807
2015-04,2.905
2015-05,2.7758064516129
2015-06,2.615
2015-07,2.45161290322581
2015-08,2.35
2015-09,2.3
2015-10,2.1
2015-11,2.1
2015-12,2.1
2016-01,2.1
2016-02,2.1
2016-03,1.91129032258065
2016-04,1.43
2016-05,1.26612903225806
2016-06,1.15
2016-07,1.15
2016-08,1.15
2016-09,1.15
2016-10,1.13064516129032
2016-11,1.01
2016-12,0.9
2017-01,0.9
2017-02,0.9
2017-03,0.9
2017-04,0.9
2017-05,0.9
2017-06,0.9
2017-07,0.9
2017-08,0.9
2017-09,0.9
2017-10,0.9
2017-11,0.9
2017-12,0.9
2018-01,0.9
2018-02,0.9
2018-03,0.9
2018-04,0.9
2018-05,0.9
2018-06,0.9
2018-07,0.9
2018-08,0.9
2018-09,0.9
2018-10,0.9
2018-11,0.9
2018-12,0.9
2019-01,0.9
2019-02,0.9
2019-03,0.9
2019-04,0.9
2019-05,0.9
2019-06,0.9
2019-07,0.9
2019-08,0.9
2019-09,0.9
2019-10,0.9
2019-11,0.9
2019-12,0.9
2020-01,0.9
2020-02,0.9
2020-03,0.9
2020-04,1.62833333333333
2020-05,1.85
2020-06,1.85
2020-07,1.85
2020-08,1.85
2020-09,1.85
2020-10,1.85
2020-11,1.85
2020-12,1.85
2021-01,1.85
2021-02,1.85
2021-03,1.85
2021-04,1.85
2021-05,1.85
2021-06,1.85
2021-07,1.88870967741936
2021-08,2.21774193548387
2021-09,2.495
2021-10,2.65806451612903
2021-11,2.89
2021-12,4.26451612903226
2022-01,4.49677419354839
2022-02,5.00714285714286
2022-03,6.43225806451613
2022-04,7.53333333333334
2022-05,8.4
2022-06,8.99
2022-07,11.6370967741935
2022-08,13.2822580645161
2022-09,14.375
2022-10,21.0161290322581
2022-11,25.0
2022-12,25.0
2023-01,25.0
2023-02,25.0
2023-03,25.0
2023-04,24.25
2023-05,20.241935483871
2023-06,19.1666666666667
2023-07,18.3064516129032
2023-08,17.4354838709677
2023-09,16.1666666666667
