,Date,Bank Lending Rate: Month Avg: Egypt,mo12m_change
216,08/1983,15.0,1.2
217,08/1982,15.0,3.3
218,08/1981,15.0,3.2
219,08/1980,14.0,1.4
220,08/1979,12.0,0.0
221,07/2023,18.2,7.2
222,07/2022,10.5,-0.6
223,07/2021,9.4,-2.7
224,07/2020,11.2,-1.0
225,07/2019,16.5,3.9
226,07/2018,17.6,5.0
227,07/2017,18.5,5.18
228,07/2016,13.8,0.39
229,07/2015,11.7,-1.68
230,07/2014,11.8,-2.2
231,07/2013,12.6,-0.28
232,07/2012,12.0,-1.13
233,07/2011,11.0,-1.84
234,07/2010,11.1,-2.1
235,07/2009,12.1,-1.35
236,07/2008,12.2,-3.3
237,07/2007,12.6,-4.4
238,07/2006,12.6,-3.65
239,07/2005,13.32,-4.45
240,07/2004,13.41,-6.89
241,07/2003,13.38,-5.68
242,07/2002,14.0,-5.0
243,07/2001,12.88,-6.12
244,07/2000,13.13,-3.87
245,07/1999,12.84,-4.16
246,07/1998,13.2,-1.8
247,07/1997,13.45,-1.55
248,07/1996,15.5,0.5
249,07/1995,17.0,2.0
250,07/1994,16.25,1.25
251,07/1993,17.77,2.77
252,07/1992,20.3,6.3
253,07/1991,19.06,7.06
254,07/1990,19.0,0.9
255,07/1989,19.0,8.5
256,07/1988,17.0,7.6
257,07/1987,17.0,5.7
258,07/1986,15.0,-1.4
259,07/1985,15.0,-3.2
260,07/1984,15.0,-3.0
261,07/1983,15.0,1.6
262,07/1982,15.0,3.4
263,07/1981,15.0,3.7
264,07/1980,14.0,1.4
265,07/1979,12.0,0.1
266,06/2023,18.1,7.1
267,06/2022,10.5,-0.6
268,06/2021,9.4,-2.7
269,06/2020,11.3,-0.7
270,06/2019,16.4,3.8
271,06/2018,18.2,5.7
272,06/2017,18.0,4.65
273,06/2016,13.4,0.13
274,06/2015,11.6,-1.88
275,06/2014,11.3,-2.8
276,06/2013,12.6,-0.97
277,06/2012,11.9,-1.21
278,06/2011,11.0,-1.84
279,06/2010,11.1,-1.95
280,06/2009,12.1,-1.1
281,06/2008,12.0,-3.5
282,06/2007,12.6,-4.4
283,06/2006,12.5,-4.1
284,06/2005,13.35,-4.85
285,06/2004,13.27,-7.0
286,06/2003,13.48,-5.97
287,06/2002,14.1,-4.9
288,06/2001,13.57,-5.43
289,06/2000,13.11,-3.89
290,06/1999,12.84,-4.16
291,06/1998,13.05,-1.95
292,06/1997,13.2,-1.8
293,06/1996,15.5,0.5
294,06/1995,17.0,2.0
295,06/1994,16.6,1.6
296,06/1993,18.2,3.2
297,06/1992,20.27,6.27
298,06/1991,19.45,7.45
299,06/1990,19.0,1.0
300,06/1989,19.0,8.6
301,06/1988,17.0,7.4
302,06/1987,17.0,5.6
303,06/1986,15.0,-1.8
304,06/1985,15.0,-3.3
305,06/1984,15.0,-2.0
306,06/1983,15.0,2.1
307,06/1982,15.0,3.4
308,06/1981,15.0,3.6
309,06/1980,14.0,1.5
310,06/1979,12.0,0.1
311,05/2023,18.0,7.2
312,05/2022,10.4,-0.8
313,05/2021,9.6,-2.7
314,05/2020,11.4,-0.6
315,05/2019,16.8,4.1
316,05/2018,18.3,5.7
317,05/2017,17.0,3.65
318,05/2016,12.9,-0.41
319,05/2015,11.6,-1.93
320,05/2014,11.4,-2.36
321,05/2013,12.5,-1.39
322,05/2012,11.9,-1.09
323,05/2011,10.8,-2.05
324,05/2010,11.2,-1.9
325,05/2009,12.3,-1.85
326,05/2008,12.0,-3.5
327,05/2007,12.7,-4.3
328,05/2006,12.6,-4.26
329,05/2005,13.35,-5.04
330,05/2004,13.31,-7.55
331,05/2003,13.53,-5.24
332,05/2002,13.76,-5.24
333,05/2001,13.89,-5.11
334,05/2000,12.99,-4.01
335,05/1999,12.85,-4.15
336,05/1998,13.1,-1.9
337,05/1997,14.15,-0.85
338,05/1996,15.5,0.5
339,05/1995,17.0,2.0
340,05/1994,16.86,1.86
341,05/1993,18.39,3.39
342,05/1992,20.86,7.86
343,05/1991,18.77,1.17
344,05/1990,19.0,9.1
345,05/1989,19.0,9.6
346,05/1988,17.0,5.2
347,05/1987,17.0,0.2
348,05/1986,15.0,-3.2
349,05/1985,15.0,-1.7
350,05/1984,15.0,2.1
351,05/1983,15.0,3.5
352,05/1982,15.0,3.4
353,05/1981,15.0,2.6
354,05/1980,13.0,0.9
355,04/2023,17.6,6.8
356,04/2022,9.9,-1.2
357,04/2021,9.4,-2.9
358,04/2020,11.8,-0.3
359,04/2019,16.8,4.1
360,04/2018,18.2,5.6
361,04/2017,16.7,3.31
362,04/2016,12.9,-0.41
363,04/2015,11.5,-2.08
364,04/2014,11.6,-2.18
365,04/2013,12.4,-0.9
366,04/2012,12.1,-1.17
367,04/2011,10.8,-2.15
368,04/2010,11.1,-1.9
369,04/2009,12.3,-2.1
370,04/2008,12.1,-3.4
371,04/2007,12.7,-4.3
372,04/2006,12.6,-4.4
373,04/2005,13.39,-5.58
374,04/2004,13.31,-7.56
375,04/2003,13.58,-5.42
376,04/2002,13.78,-3.22
377,04/2001,13.3,-3.7
378,04/2000,13.27,-1.73
379,04/1999,12.95,-2.05
380,04/1998,13.0,-2.0
381,04/1997,14.4,-0.6
382,04/1996,15.5,0.5
383,04/1995,17.0,2.0
384,04/1994,17.0,2.0
385,04/1993,18.97,5.97
386,04/1992,20.87,4.97
387,04/1990,19.0,9.3
388,04/1989,17.0,7.5
389,04/1988,17.0,4.3
390,04/1987,15.0,-2.1
391,04/1986,15.0,-4.3
392,04/1985,15.0,-1.6
393,04/1984,15.0,2.5
394,04/1983,15.0,3.4
395,04/1982,15.0,3.3
396,04/1981,15.0,2.7
397,04/1980,13.0,1.0
398,03/2023,15.9,5.2
399,03/2022,9.7,-1.4
400,03/2021,9.5,-2.9
401,03/2020,12.7,0.5
402,03/2019,17.1,4.4
403,03/2018,19.3,6.7
404,03/2017,16.6,3.19
405,03/2016,12.5,-0.81
406,03/2015,11.6,-1.79
407,03/2014,11.7,-1.89
408,03/2013,12.3,-1.52
409,03/2012,12.0,-1.08
410,03/2011,10.7,-1.58
411,03/2010,11.1,-1.6
412,03/2009,12.4,-1.75
413,03/2008,12.2,-3.3
414,03/2007,12.7,-4.3
415,03/2006,12.6,-4.58
416,03/2005,13.41,-5.64
417,03/2004,13.3075,-7.71
418,03/2003,13.39,-5.61
419,03/2002,13.59,-3.41
420,03/2001,13.818,-3.18
421,03/2000,13.08,-1.92
422,03/1999,12.28,-2.72
423,03/1998,12.7,-2.3
424,03/1997,14.15,-0.85
425,03/1996,15.5,0.5
426,03/1995,17.0,2.0
427,03/1994,17.18,2.18
428,03/1993,19.05,7.05
429,03/1992,21.02,5.82
430,03/1990,19.0,9.5
431,03/1989,17.0,7.5
432,03/1988,17.0,3.2
433,03/1987,15.0,-2.4
434,03/1986,15.0,-4.7
435,03/1985,15.0,-1.5
436,03/1984,15.0,3.1
437,03/1983,15.0,3.4
438,03/1982,15.0,3.2
439,03/1981,15.0,2.8
440,03/1980,12.0,0.1
441,02/2023,15.2,4.6
442,02/2022,9.5,-1.5
443,02/2021,9.5,-3.1
444,02/2020,13.8,1.7
445,02/2019,17.4,4.7
446,02/2018,19.7,7.1
447,02/2017,16.5,3.06
448,02/2016,11.9,-1.46
449,02/2015,11.6,-2.18
450,02/2014,11.8,-1.92
451,02/2013,12.2,-1.04
452,02/2012,11.9,-1.24
453,02/2011,10.6,-2.9
454,02/2010,11.0,-1.9
455,02/2009,12.6,-1.65
456,02/2008,12.1,-3.4
457,02/2007,12.7,-4.3
458,02/2006,12.6,-4.7
459,02/2005,13.44,-5.68
460,02/2004,13.36,-7.37
461,02/2003,13.78,-5.22
462,02/2002,13.72,-3.28
463,02/2001,13.235,-3.77
464,02/2000,13.14,-1.86
465,02/1999,13.5,-1.5
466,02/1998,12.9,-2.1
467,02/1997,14.25,-0.75
468,02/1996,15.5,0.5
469,02/1995,17.0,2.0
470,02/1994,17.3,2.3
471,02/1993,19.12,7.12
472,02/1992,20.73,6.33
473,02/1990,19.0,9.5
474,02/1989,17.0,7.5
475,02/1988,17.0,3.4
476,02/1987,15.0,-3.1
477,02/1986,15.0,-4.9
478,02/1985,15.0,-1.5
479,02/1984,15.0,3.1
480,02/1983,15.0,3.3
481,02/1982,15.0,3.2
482,02/1981,15.0,2.9
483,02/1980,12.0,0.1
484,01/2023,14.4,3.7
485,01/2022,9.5,-1.6
486,01/2021,9.5,-3.1
487,01/2020,13.6,1.5
488,01/2019,18.1,5.5
489,01/2018,19.9,7.3
490,01/2017,16.5,3.14
491,01/2016,11.9,-1.58
492,01/2015,11.7,-2.1
493,01/2014,11.8,-1.86
494,01/2013,12.1,-1.61
495,01/2012,11.9,-1.29
496,01/2011,10.7,-2.3
497,01/2010,11.1,-2.5
498,01/2009,12.6,-1.7
499,01/2008,12.1,-3.4
500,01/2007,12.6,-3.4
501,01/2006,12.6,-4.74
502,01/2005,13.36,-5.92
503,01/2004,13.48,-7.4
504,01/2003,13.8,-5.2
505,01/2002,13.66,-3.34
506,01/2001,13.705,-3.3
507,01/2000,13.19,-1.81
508,01/1999,13.0,-2.0
509,01/1998,13.6,-1.4
510,01/1997,14.3,-0.7
511,01/1996,15.5,0.5
512,01/1995,16.0,1.0
513,01/1994,17.34,2.34
514,01/1993,19.28,7.28
515,01/1992,20.88,
516,01/1990,19.0,
517,01/1989,17.0,
518,01/1988,17.0,
519,01/1987,15.0,
520,01/1986,15.0,
521,01/1985,15.0,
522,01/1984,15.0,
523,01/1983,15.0,
524,01/1982,15.0,
525,01/1981,15.0,
526,01/1980,12.0,
