,Date,Bank Lending Rate: Month Avg: Romania,mo12m_change
96,2015-08,4.46,-1.54
97,2015-07,4.69,-1.7
98,2015-06,4.86,-1.15
99,2015-05,4.64,-2.54
100,2015-04,5.07,-1.82
101,2015-03,5.18,-2.05
102,2015-02,5.19,-2.34
103,2015-01,5.33,-1.46
104,2014-12,5.87,-0.97
105,2014-11,5.58,-1.93
106,2014-10,6.35,-1.43
107,2014-09,6.42,-1.48
108,2014-08,6.0,-2.74
109,2014-07,6.39,-2.24
110,2014-06,6.01,-3.2
111,2014-05,7.18,-2.28
112,2014-04,6.89,-2.68
113,2014-03,7.23,-2.1
114,2014-02,7.53,-2.05
115,2014-01,6.79,-3.2
116,2013-12,6.84,-2.92
117,2013-11,7.51,-2.52
118,2013-10,7.78,-1.8
119,2013-09,7.9,-2.2
120,2013-08,8.74,-1.14
121,2013-07,8.63,-0.81
122,2013-06,9.21,-0.31
123,2013-05,9.46,0.12
124,2013-04,9.57,0.74
125,2013-03,9.33,0.38
126,2013-02,9.58,-0.09
127,2013-01,9.99,0.15
128,2012-12,9.76,0.02
129,2012-11,10.03,-0.13
130,2012-10,9.58,-0.54
131,2012-09,10.1,0.33
132,2012-08,9.88,0.47
133,2012-07,9.44,0.37
134,2012-06,9.52,0.24
135,2012-05,9.34,-0.25
136,2012-04,8.83,-0.4
137,2012-03,8.95,-0.84
138,2012-02,9.67,-1.49
139,2012-01,9.84,0.59
140,2011-12,9.74,0.34
141,2011-11,10.16,-0.59
142,2011-10,10.12,0.26
143,2011-09,9.77,-0.74
144,2011-08,9.41,-1.51
145,2011-07,9.07,-2.96
146,2011-06,9.28,-1.89
147,2011-05,9.59,-2.07
148,2011-04,9.23,-1.7
149,2011-03,9.79,-2.33
150,2011-02,11.16,-2.07
151,2011-01,9.25,-4.57
152,2010-12,9.4,-6.0
153,2010-11,10.75,-5.01
154,2010-10,9.86,-6.33
155,2010-09,10.51,-4.38
156,2010-08,10.92,-4.77
157,2010-07,12.03,-3.97
158,2010-06,11.17,-5.95
159,2010-05,11.66,-5.9
160,2010-04,10.93,-8.35
161,2010-03,12.12,-8.46
162,2010-02,13.23,-7.45
163,2010-01,13.82,-7.37
164,2009-12,15.4,-4.11
165,2009-11,15.76,-4.73
166,2009-10,16.19,-3.41
167,2009-09,14.89,-0.79
168,2009-08,15.69,0.49
169,2009-07,16.0,1.36
170,2009-06,17.12,2.81
171,2009-05,17.56,3.45
172,2009-04,19.28,5.13
173,2009-03,20.58,7.15
174,2009-02,20.68,8.17
175,2009-01,21.19,9.22
176,2008-12,19.51,7.89
177,2008-11,20.49,9.02
178,2008-10,19.6,8.43
179,2008-09,15.68,5.38
180,2008-08,15.2,4.65
181,2008-07,14.64,3.51
182,2008-06,14.31,2.86
183,2008-05,14.11,1.82
184,2008-04,14.15,1.98
185,2008-03,13.43,1.47
186,2008-02,12.51,0.66
187,2008-01,11.97,0.58
188,2007-12,11.62,-0.48
189,2007-11,11.47,-1.04
190,2007-10,11.17,-1.89
191,2007-09,10.3,-2.02
192,2007-08,10.55,-2.31
193,2007-07,11.13,-1.44
194,2007-06,11.45,-0.83
195,2007-05,12.29,-0.42
196,2007-04,12.17,-0.75
197,2007-03,11.96,-1.79
198,2007-02,11.85,-0.73
199,2007-01,11.39,-2.07
200,2006-12,12.1,-1.59
201,2006-11,12.51,
202,2006-10,13.06,
203,2006-09,12.32,
204,2006-08,12.86,
205,2006-07,12.57,
206,2006-06,12.28,
207,2006-05,12.71,
208,2006-04,12.92,
209,2006-03,13.75,
210,2006-02,12.58,
211,2006-01,13.46,
212,2005-12,13.69,
