"Date","ten_yr_hungary","ten_yr_us","RiskPremium"
2008-11-30,8.86,2.93,5.93
2008-12-31,8.28,2.25,6.03
2009-01-31,9.66,2.87,6.79
2009-02-28,10.85,3.02,7.83
2009-03-31,12.25,2.71,9.54
2009-04-30,10.26,3.16,7.1
2009-05-31,9.97,3.47,6.5
2009-06-30,9.74,3.53,6.21
2009-07-31,8.53,3.52,5.01
2009-08-31,8.14,3.4,4.74
2009-09-30,7.63,3.31,4.32
2009-10-31,7.38,3.41,3.97
2009-11-30,7.46,3.21,4.25
2009-12-31,7.99,3.85,4.14
2010-01-31,7.66,3.63,4.03
2010-02-28,7.51,3.61,3.9
2010-03-31,6.86,3.84,3.02
2010-04-30,6.62,3.69,2.93
2010-05-31,7.23,3.31,3.92
2010-06-30,7.69,2.97,4.72
2010-07-31,7.24,2.94,4.3
2010-08-31,7.62,2.47,5.15
2010-09-30,6.79,2.53,4.26
2010-10-31,7.03,2.63,4.4
2010-11-30,8.44,2.81,5.63
2010-12-31,7.95,3.38,4.57
2011-01-31,7.32,3.42,3.9
2011-02-28,7.25,3.59,3.66
2011-03-31,7.19,3.47,3.72
2011-04-30,7,3.42,3.58
2011-05-31,7.19,3.07,4.12
2011-06-30,7.31,3.18,4.13
2011-07-31,7.5,2.82,4.68
2011-08-31,7.35,2.23,5.12
2011-09-30,8.14,1.92,6.22
2011-10-31,7.79,2.17,5.62
2011-11-30,8.92,2.08,6.84
2011-12-31,9.75,1.89,7.86
2012-01-31,8.89,1.83,7.06
2012-02-29,8.57,1.98,6.59
2012-03-31,9.06,2.23,6.83
2012-04-30,7.98,1.95,6.03
2012-05-31,8.71,1.59,7.12
2012-06-30,7.9,1.67,6.23
2012-07-31,7.37,1.51,5.86
2012-08-31,7.25,1.57,5.68
2012-09-30,7.24,1.65,5.59
2012-10-31,6.88,1.72,5.16
2012-11-30,6.82,1.62,5.2
2012-12-31,6.23,1.78,4.45
2013-01-31,6.34,2.02,4.32
2013-02-28,6.25,1.89,4.36
2013-03-31,6.39,1.87,4.52
2013-04-30,5.32,1.7,3.62
2013-05-31,5.64,2.16,3.48
2013-06-30,6.12,2.52,3.6
2013-07-31,6.41,2.6,3.81
2013-08-31,6.58,2.78,3.8
2013-09-30,5.83,2.64,3.19
2013-10-31,5.45,2.57,2.88
2013-11-30,6.07,2.75,3.32
2013-12-31,5.71,3.04,2.67
2014-01-31,6.2,2.67,3.53
2014-02-28,6.01,2.66,3.35
2014-03-31,5.54,2.73,2.81
2014-04-30,5.35,2.67,2.68
2014-05-31,4.71,2.48,2.23
2014-06-30,4.39,2.53,1.86
2014-07-31,4.73,2.58,2.15
2014-08-31,4.45,2.35,2.1
2014-09-30,4.63,2.52,2.11
2014-10-31,3.9,2.35,1.55
2014-11-30,3.52,2.18,1.34
2014-12-31,3.69,2.17,1.52
2015-01-31,2.88,1.68,1.2
2015-02-28,3.01,2.03,0.98
2015-03-31,3.36,1.94,1.42
2015-04-30,3.45,2.05,1.4
2015-05-31,3.53,2.12,1.41
2015-06-30,4,2.35,1.65
2015-07-31,3.84,2.2,1.64
2015-08-31,3.77,2.21,1.56
2015-09-30,3.38,2.06,1.32
2015-10-31,3.45,2.16,1.29
2015-11-30,3.39,2.21,1.18
2015-12-31,3.42,2.27,1.15
2016-01-31,3.64,1.94,1.7
2016-02-29,3.37,1.74,1.63
2016-03-31,3,1.78,1.22
2016-04-30,3.42,1.83,1.59
2016-05-31,3.48,1.84,1.64
2016-06-30,3.23,1.49,1.74
2016-07-31,2.91,1.46,1.45
2016-08-31,2.93,1.58,1.35
2016-09-30,2.97,1.6,1.37
2016-10-31,3.08,1.84,1.24
2016-11-30,3.47,2.37,1.1
2016-12-31,3.26,2.45,0.81
2017-01-31,3.58,2.45,1.13
2017-02-28,3.5,2.36,1.14
2017-03-31,3.41,2.4,1.01
2017-04-30,3.36,2.29,1.07
2017-05-31,3.13,2.21,0.92
2017-06-30,3.16,2.31,0.85
2017-07-31,3.2,2.3,0.9
2017-08-31,3.05,2.12,0.93
2017-09-30,2.67,2.33,0.34
2017-10-31,2.52,2.38,0.14
2017-11-30,2.19,2.42,-0.23
2017-12-31,2.09,2.4,-0.31
2018-01-31,2.35,2.72,-0.37
2018-02-28,2.65,2.87,-0.22
2018-03-31,2.46,2.74,-0.28
2018-04-30,2.59,2.95,-0.36
2018-05-31,3.23,2.83,0.4
2018-06-30,3.67,2.85,0.82
2018-07-31,3.31,2.96,0.35
2018-08-31,3.53,2.86,0.67
2018-09-30,3.62,3.05,0.57
2018-10-31,3.73,3.15,0.58
2018-11-30,3.21,3.01,0.2
2018-12-31,3.32,2.69,0.63
2019-01-31,2.81,2.63,0.18
2019-02-28,2.77,2.73,0.04
2019-03-31,2.94,2.41,0.53
2019-04-30,3.35,2.51,0.84
2019-05-31,3.03,2.14,0.89
2019-06-30,2.7,2,0.7
2019-07-31,2.35,2.02,0.33
2019-08-31,1.97,1.5,0.47
2019-09-30,2.04,1.68,0.36
2019-10-31,1.96,1.69,0.27
2019-11-30,1.93,1.78,0.15
2019-12-31,2.015,1.92,0.1
2020-01-31,2.14,1.51,0.63
2020-02-29,2.25,1.13,1.12
2020-03-31,2.6,0.7,1.9
2020-04-30,1.95,0.64,1.31
2020-05-31,1.98,0.65,1.33
2020-06-30,2.22,0.66,1.56
2020-07-31,2.15,0.55,1.6
2020-08-31,2.37,0.72,1.65
2020-09-30,2.5,0.69,1.81
2020-10-31,2.33,0.88,1.45
2020-11-30,2.26,0.84,1.42
2020-12-31,2.15,0.93,1.22
2021-01-31,2.38,1.11,1.27
2021-02-28,2.73,1.44,1.29
2021-03-31,2.78,1.74,1.04
2021-04-30,2.82,1.65,1.17
2021-05-31,2.98,1.58,1.4
2021-06-30,2.9,1.45,1.45
2021-07-31,2.93,1.24,1.69
2021-08-31,3.01,1.3,1.71
2021-09-30,3.3,1.52,1.78
2021-10-31,4,1.55,2.45
2021-11-30,4.41,1.43,2.98
2021-12-31,4.58,1.52,3.06
2022-01-31,4.96,1.79,3.17
2022-02-28,5.32,1.83,3.49
2022-03-31,6.05,2.32,3.73
2022-04-30,7.01,2.89,4.12
2022-05-31,7.3,2.85,4.45
2022-06-30,8.16,2.98,5.18
2022-07-31,8.175,2.67,5.51
2022-08-31,8.98,3.15,5.83
2022-09-30,9.775,3.83,5.94
2022-10-31,10.23,4.1,6.13
2022-11-30,8.33,3.68,4.65
2022-12-31,9.25,3.88,5.37
2023-01-31,8.1,3.52,4.58
2023-02-28,8.7,3.92,4.78
2023-03-31,8.59,3.48,5.11
2023-04-30,7.93,3.44,4.49
2023-05-31,8.04,3.64,4.4
2023-06-30,7.13,3.81,3.32
2023-07-31,7.38,3.97,3.41
2023-08-31,7.14,4.09,3.05
2023-09-30,7.37,4.59,2.78
