"Date","ten_yr_poland","ten_yr_us","RiskPremium"
2019-06-30,2.33,2,0.33
2019-07-31,2.05,2.02,0.03
2019-08-31,1.83,1.5,0.33
2019-09-30,1.98,1.68,0.3
2019-10-31,1.96,1.69,0.27
2019-11-30,1.99,1.78,0.21
2019-12-31,2.11,1.92,0.19
2020-01-31,2.13,1.51,0.62
2020-02-29,1.78,1.13,0.65
2020-03-31,1.67,0.7,0.97
2020-04-30,1.47,0.64,0.83
2020-05-31,1.11,0.65,0.46
2020-06-30,1.3,0.66,0.64
2020-07-31,1.26,0.55,0.71
2020-08-31,1.38,0.72,0.66
2020-09-30,1.3,0.69,0.61
2020-10-31,1.18,0.88,0.3
2020-11-30,1.23,0.84,0.39
2020-12-31,1.23,0.93,0.3
2021-01-31,1.15,1.11,0.04
2021-02-28,1.59,1.44,0.15
2021-03-31,1.55,1.74,-0.19
2021-04-30,1.69,1.65,0.04
2021-05-31,1.84,1.58,0.26
2021-06-30,1.63,1.45,0.18
2021-07-31,1.57,1.24,0.33
2021-08-31,1.66,1.3,0.36
2021-09-30,2.05,1.52,0.53
2021-10-31,2.88,1.55,1.33
2021-11-30,3.11,1.43,1.68
2021-12-31,3.71,1.52,2.19
2022-01-31,4.05,1.79,2.26
2022-02-28,4.09,1.83,2.26
2022-03-31,5.19,2.32,2.87
2022-04-30,6.33,2.89,3.44
2022-05-31,6.57,2.85,3.72
2022-06-30,6.86,2.98,3.88
2022-07-31,5.53,2.67,2.86
2022-08-31,6.14,3.15,2.99
2022-09-30,7.09,3.83,3.26
2022-10-31,8.33,4.1,4.23
2022-11-30,6.58,3.68,2.9
2022-12-31,6.85,3.88,2.97
2023-01-31,5.95,3.52,2.43
2023-02-28,6.46,3.92,2.54
2023-03-31,6.11,3.48,2.63
