,Policy Rate: Month End: Effective Federal Funds Rate
06/2020,0.08
07/2020,0.1
08/2020,0.09
09/2020,0.09
10/2020,0.09
11/2020,0.09
12/2020,0.09
01/2021,0.07
02/2021,0.07
03/2021,0.06
04/2021,0.05
05/2021,0.05
06/2021,0.08
07/2021,0.07
08/2021,0.06
09/2021,0.06
10/2021,0.07
11/2021,0.07
12/2021,0.07
01/2022,0.08
02/2022,0.08
03/2022,0.33
04/2022,0.33
05/2022,0.83
06/2022,1.58
07/2022,2.32
08/2022,2.33
09/2022,3.08
10/2022,3.08
11/2022,3.83
12/2022,4.33
01/2023,4.33
02/2023,4.57
03/2023,4.83
04/2023,4.83
05/2023,5.08
06/2023,5.08
07/2023,5.33
08/2023,5.33
09/2023,5.33
